state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures
Tamil Nadu,2023,False,tigerdeaths_unnaturalcauses,3.0,2.0,,,,1.0,,False,3.0,3.0
Tamil Nadu,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,3.0,
Telangana,2014,False,mortality_14-15,1.0,1.0,,,,,,False,1.0,
Telangana,2019,False,mortality_19-21,2.0,,,,,,43.75,False,2.0,10.0
Telangana,2020,False,mortality_19-21|tigerdeaths_20-22,0.0,,,,,,20.75,False,0.0,4.0
Telangana,2021,False,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,4.0,,,,,,20.47,False,4.0,7.0
Telangana,2022,False,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0.0,,,,,,49.59,False,0.0,5.0
Telangana,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,3.0
Telangana,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,
Uttar Pradesh,2012,False,tigerdeaths_2012,7.0,4.0,2.0,1.0,,,,False,7.0,
Uttar Pradesh,2013,False,tigerdeaths_2013,4.0,3.0,0.0,1.0,,,,False,4.0,
Uttar Pradesh,2014,False,mortality_14-15,2.0,,,2.0,,,,False,2.0,
Uttar Pradesh,2015,False,mortality_14-15,2.0,2.0,0.0,0.0,,,,False,2.0,
Uttar Pradesh,2016,False,tigerdeaths_16-18,3.0,,,,,,,False,3.0,
Uttar Pradesh,2017,False,tigerdeaths_16-18,5.0,,,,,,,False,5.0,
Uttar Pradesh,2018,False,tigerdeaths_16-18,4.0,,,,,,57.43,False,4.0,
Uttar Pradesh,2019,False,mortality_19-21,4.0,,,,,,43.75,False,4.0,10.0
Uttar Pradesh,2020,False,mortality_19-21|tigerdeaths_20-22,9.0,,,,,,20.75,False,9.0,4.0
Uttar Pradesh,2021,True,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,9.0,,,,1.0,2.0,20.47,False,9.0,7.0
Uttar Pradesh,2022,False,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,3.0,,,,,,49.59,False,3.0,5.0
